student_id,subject,topic,score,time_spent,attempts,learning_style,cluster,learner_group,learning_style_encoded
7,OS,Processes,64,35,2,Audio-Visual,1.0,Advanced Learner,1.0
10,OS,Scheduling,74,25,2,Audio-Visual,1.0,Advanced Learner,1.0
10,DBMS,Joins,74,25,2,Audio-Visual,1.0,Advanced Learner,1.0
16,DBMS,Joins,26,74,3,Kinesthetic,2.0,Struggling Learner,2.0
13,DBMS,Joins,45,55,2,Visual,1.0,Advanced Learner,0.0
13,CN,TCP/IP,62,71,2,Visual,1.0,Advanced Learner,0.0
13,CN,General,62,71,2,Visual,1.0,Advanced Learner,0.0
11,DBMS,Normalization,41,89,3,Visual,1.0,Advanced Learner,0.0
14,CN,Routing,75,60,2,Kinesthetic,1.0,Advanced Learner,2.0
14,DSA,General,75,60,2,Kinesthetic,1.0,Advanced Learner,2.0
14,DSA,Queue,75,60,2,Kinesthetic,1.0,Advanced Learner,2.0
6,DBMS,SQL,19,84,3,Visual,1.0,Advanced Learner,0.0
6,CN,General,19,84,3,Visual,1.0,Advanced Learner,0.0
6,CN,Routing,19,84,3,Visual,1.0,Advanced Learner,0.0
17,DSA,Stack,24,97,3,Kinesthetic,2.0,Struggling Learner,2.0
17,DSA,Linked List,24,97,3,Kinesthetic,2.0,Struggling Learner,2.0
10,DBMS,SQL,32,76,3,Visual,1.0,Advanced Learner,0.0
10,CN,TCP/IP,27,72,2,Audio-Visual,1.0,Advanced Learner,1.0
10,OS,Threads,84,49,2,Kinesthetic,1.0,Advanced Learner,2.0
17,DSA,Queue,82,46,2,Kinesthetic,1.0,Advanced Learner,2.0
15,Python,File Handling,86,46,2,Kinesthetic,1.0,Advanced Learner,2.0
10,DBMS,General,59,69,3,Visual,1.0,Advanced Learner,0.0
19,DSA,Arrays,80,43,2,Kinesthetic,1.0,Advanced Learner,2.0
10,DSA,Arrays,96,27,2,Kinesthetic,1.0,Advanced Learner,2.0
15,DSA,Arrays,45,89,3,Audio-Visual,2.0,Struggling Learner,1.0
15,CN,Routing,45,89,3,Audio-Visual,2.0,Struggling Learner,1.0
15,OS,General,45,89,3,Audio-Visual,2.0,Struggling Learner,1.0
15,CN,General,45,89,3,Audio-Visual,2.0,Struggling Learner,1.0
15,Python,General,26,95,3,Kinesthetic,2.0,Struggling Learner,2.0
13,CN,Routing,14,84,2,Audio-Visual,1.0,Advanced Learner,1.0
7,OS,Scheduling,20,80,2,Audio-Visual,1.0,Advanced Learner,1.0
15,OS,Scheduling,13,80,2,Audio-Visual,1.0,Advanced Learner,1.0
15,DBMS,Joins,13,80,2,Audio-Visual,1.0,Advanced Learner,1.0
15,DBMS,General,13,80,2,Audio-Visual,1.0,Advanced Learner,1.0
12,DBMS,General,13,80,2,Audio-Visual,1.0,Advanced Learner,1.0
18,DBMS,SQL,98,38,1,Kinesthetic,1.0,Advanced Learner,2.0
22,DBMS,SQL,95,30,1,Audio-Visual,1.0,Advanced Learner,1.0
22,DSA,General,95,30,1,Audio-Visual,1.0,Advanced Learner,1.0
22,DSA,Queue,95,30,1,Audio-Visual,1.0,Advanced Learner,1.0
25,DSA,Queue,98,39,1,Visual,1.0,Advanced Learner,0.0
25,CN,General,98,39,1,Visual,1.0,Advanced Learner,0.0
25,CN,Routing,98,39,1,Visual,1.0,Advanced Learner,0.0
23,CN,Routing,95,41,1,Kinesthetic,1.0,Advanced Learner,2.0
23,DSA,General,95,41,1,Kinesthetic,1.0,Advanced Learner,2.0
23,DSA,Linked List,95,41,1,Kinesthetic,1.0,Advanced Learner,2.0
29,CN,OSI Model,5,32,1,Audio-Visual,1.0,Advanced Learner,1.0
26,CN,OSI Model,5,133,3,Visual,0.0,Consistent Learner,0.0
26,OS,General,5,133,3,Visual,0.0,Consistent Learner,0.0
26,OS,Threads,5,133,3,Visual,0.0,Consistent Learner,0.0
33,CN,Routing,60,54,2,Audio-Visual,1.0,Advanced Learner,1.0
33,DSA,General,60,54,2,Audio-Visual,1.0,Advanced Learner,1.0
33,DSA,Arrays,60,54,2,Audio-Visual,1.0,Advanced Learner,1.0
34,DSA,Arrays,4,86,3,Kinesthetic,2.0,Struggling Learner,2.0
34,OS,General,4,86,3,Kinesthetic,2.0,Struggling Learner,2.0
